date_created,post_tone_scores,embedded_tone_scores
2013-09-30,0.6504505000000005,0.7058715000000015
2013-10-31,0.6567520492607166,0.6984177005237548
2013-11-30,0.6630535985214328,0.6909639010475083
2013-12-31,0.6693551477821488,0.6835101015712617
2014-01-31,0.6756566970428649,0.676056302095015
2014-02-28,0.6358659480846129,0.6530090821572108
2014-03-31,0.6820848303352214,0.688376341066197
2014-04-30,0.6757832097232732,0.6813999627674887
2014-05-31,0.6694815891113249,0.6744235844687804
2014-06-30,0.6926603125000026,0.5723373333333288
2014-07-31,0.6849302381423096,0.7084502463768141
2014-08-31,0.7116906542703865,0.6920337885231169
2014-09-30,0.6435231458797364,0.6597224743875258
2014-10-31,0.6890565602620662,0.774704521998168
2014-11-30,0.7186199929424909,0.6996734613592833
2014-12-31,0.7157410703947222,0.6938299160361863
2015-01-31,0.6755619192696651,0.706321275566991
2015-02-28,0.702075970149269,0.9449648955223601
2015-03-31,0.6781818423005536,0.6516761113172356
2015-04-30,0.756461293303801,0.8454643392363063
2015-05-31,0.6276378610154877,0.7211153145438847
2015-06-30,0.6789656008821242,0.7047567416874305
2015-07-31,0.6355182857142851,0.6202789999999975
2015-08-31,0.6455083537092949,0.6417372680262143
2015-09-30,0.6554984217043048,0.6631955360524311
2015-10-31,0.7191892570204593,0.6307086396953948
2015-11-30,0.6579248979501076,0.6798823189060264
2015-12-31,0.6530225758407249,0.7850351594530134
2016-01-31,0.6481202537313423,0.8901880000000004
2016-02-29,0.6479684624821107,0.8374170700152312
2016-03-31,0.6478166712328792,0.7846461400304622
2016-04-30,0.6693435834298447,0.7262220718373888
2016-05-31,0.6908704956268102,0.6677980036443156
2016-06-30,0.6924332478134092,0.7136593218221601
2016-07-31,0.6939960000000083,0.7595206400000046
2016-08-31,0.6950840250000072,0.7216913786666705
2016-09-30,0.6961720500000061,0.6838621173333366
2016-10-31,0.6972600750000052,0.6460328560000025
2016-11-30,0.6983481000000041,0.6082035946666684
2016-12-31,0.6994361250000031,0.5703743333333344
2017-01-31,0.6663074339623177,0.7075036923076322
2017-02-28,0.6742102320056342,0.7050618102563599
2017-03-31,0.6821130300489507,0.7026199282050878
2017-04-30,0.6900158280922672,0.7001780461538156
2017-05-31,0.6979186261355839,0.6977361641025434
2017-06-30,0.7058214241789004,0.6952942820512711
2017-07-31,0.7137242222222169,0.6928523999999989
